id;nombre;descripcion;precio_unitario;activo
1;spotless;as outside;21239.1;true
2;venture bony;blacken afterwards pish;29026.43;true
3;including arid cruelty;healthily ah excluding;27952.01;true
4;but whenever;shoulder penalise;22560.89;false
5;phooey;petticoat over farmer;8441.93;true
6;till fuss;gadzooks forenenst likewise;3457.46;false
7;rationale;vainly brochure;28523.01;true
8;preclude hence modulo;gruesome;21897.44;false
9;pish precedent;behind how when;31528.51;false
10;unlike indeed ha;every how teeming;17334.65;true
